intersection_name,direction,SA_num,green_start_time,green_end_time,cycle
8교차로,서동,26,2924,3002,160
8교차로,서동,26,3084,3162,160
8교차로,서동,26,3244,3322,160
8교차로,서동,26,3404,3482,160
8교차로,서동,26,3564,3642,160
9교차로,서동,26,30,157,160
9교차로,서동,26,190,317,160
9교차로,서동,26,350,477,160
9교차로,서동,26,510,637,160
9교차로,서동,26,670,797,160
9교차로,서동,26,830,957,160
9교차로,서동,26,990,1117,160
9교차로,서동,26,1150,1277,160
9교차로,서동,26,1310,1437,160
9교차로,서동,26,1470,1597,160
9교차로,서동,26,1630,1757,160
9교차로,서동,26,1790,1917,160
9교차로,서동,26,1950,2077,160
9교차로,서동,26,2110,2237,160
9교차로,서동,26,2270,2397,160
9교차로,서동,26,2430,2557,160
9교차로,서동,26,2590,2717,160
9교차로,서동,26,2750,2877,160
9교차로,서동,26,2910,3037,160
9교차로,서동,26,3070,3197,160
9교차로,서동,26,3230,3357,160
9교차로,서동,26,3390,3517,160
9교차로,서동,26,3550,3677,160
10교차로,서동,10,109,149,180
10교차로,서동,10,289,329,180
10교차로,서동,10,469,509,180
10교차로,서동,10,649,689,180
10교차로,서동,10,829,869,180
10교차로,서동,10,1009,1049,180
10교차로,서동,10,1189,1229,180
10교차로,서동,10,1369,1409,180
10교차로,서동,10,1549,1589,180
10교차로,서동,10,1729,1769,180
10교차로,서동,10,1909,1949,180
10교차로,서동,10,2089,2129,180
10교차로,서동,10,2269,2309,180
10교차로,서동,10,2449,2489,180
10교차로,서동,10,2629,2669,180
10교차로,서동,10,2809,2849,180
10교차로,서동,10,2989,3029,180
10교차로,서동,10,3169,3209,180
10교차로,서동,10,3349,3389,180
10교차로,서동,10,3529,3569,180
11교차로,서동,10,-54,93,180
11교차로,서동,10,126,273,180
11교차로,서동,10,306,453,180
11교차로,서동,10,486,633,180
11교차로,서동,10,666,813,180
11교차로,서동,10,846,993,180
11교차로,서동,10,1026,1173,180
11교차로,서동,10,1206,1353,180
11교차로,서동,10,1386,1533,180
11교차로,서동,10,1566,1713,180
11교차로,서동,10,1746,1893,180
11교차로,서동,10,1926,2073,180
11교차로,서동,10,2106,2253,180
11교차로,서동,10,2286,2433,180
11교차로,서동,10,2466,2613,180
11교차로,서동,10,2646,2793,180
11교차로,서동,10,2826,2973,180
11교차로,서동,10,3006,3153,180
11교차로,서동,10,3186,3333,180
11교차로,서동,10,3366,3513,180
11교차로,서동,10,3546,3693,180
12교차로,서동,10,-42,57,180
12교차로,서동,10,138,237,180
12교차로,서동,10,318,417,180
12교차로,서동,10,498,597,180
12교차로,서동,10,678,777,180
12교차로,서동,10,858,957,180
12교차로,서동,10,1038,1137,180
12교차로,서동,10,1218,1317,180
12교차로,서동,10,1398,1497,180
12교차로,서동,10,1578,1677,180
12교차로,서동,10,1758,1857,180
12교차로,서동,10,1938,2037,180
12교차로,서동,10,2118,2217,180
12교차로,서동,10,2298,2397,180
12교차로,서동,10,2478,2577,180
12교차로,서동,10,2658,2757,180
12교차로,서동,10,2838,2937,180
12교차로,서동,10,3018,3117,180
12교차로,서동,10,3198,3297,180
12교차로,서동,10,3378,3477,180
12교차로,서동,10,3558,3657,180
13교차로,서동,10,-77,28,180
13교차로,서동,10,103,208,180
13교차로,서동,10,283,388,180
13교차로,서동,10,463,568,180
13교차로,서동,10,643,748,180
13교차로,서동,10,823,928,180
13교차로,서동,10,1003,1108,180
13교차로,서동,10,1183,1288,180
13교차로,서동,10,1363,1468,180
13교차로,서동,10,1543,1648,180
13교차로,서동,10,1723,1828,180
13교차로,서동,10,1903,2008,180
13교차로,서동,10,2083,2188,180
13교차로,서동,10,2263,2368,180
13교차로,서동,10,2443,2548,180
13교차로,서동,10,2623,2728,180
13교차로,서동,10,2803,2908,180
13교차로,서동,10,2983,3088,180
13교차로,서동,10,3163,3268,180
13교차로,서동,10,3343,3448,180
13교차로,서동,10,3523,3628,180
14교차로,서동,88,-23,121,210
14교차로,서동,88,187,331,210
14교차로,서동,88,397,541,210
14교차로,서동,88,607,751,210
14교차로,서동,88,817,961,210
14교차로,서동,88,1027,1171,210
14교차로,서동,88,1237,1381,210
14교차로,서동,88,1447,1591,210
14교차로,서동,88,1657,1801,210
14교차로,서동,88,1867,2011,210
14교차로,서동,88,2077,2221,210
14교차로,서동,88,2287,2431,210
14교차로,서동,88,2497,2641,210
14교차로,서동,88,2707,2851,210
14교차로,서동,88,2917,3061,210
14교차로,서동,88,3127,3271,210
14교차로,서동,88,3337,3481,210
14교차로,서동,88,3547,3691,210
15교차로,서동,13,162,191,220
15교차로,서동,13,382,411,220
15교차로,서동,13,602,631,220
15교차로,서동,13,822,851,220
15교차로,서동,13,1042,1071,220
15교차로,서동,13,1262,1291,220
15교차로,서동,13,1482,1511,220
15교차로,서동,13,1702,1731,220
15교차로,서동,13,1922,1951,220
15교차로,서동,13,2142,2171,220
15교차로,서동,13,2362,2391,220
15교차로,서동,13,2582,2611,220
15교차로,서동,13,2802,2831,220
15교차로,서동,13,3022,3051,220
15교차로,서동,13,3242,3271,220
15교차로,서동,13,3462,3491,220
16교차로,서동,13,-48,75,220
16교차로,서동,13,172,295,220
16교차로,서동,13,392,515,220
16교차로,서동,13,612,735,220
16교차로,서동,13,832,955,220
16교차로,서동,13,1052,1175,220
16교차로,서동,13,1272,1395,220
16교차로,서동,13,1492,1615,220
16교차로,서동,13,1712,1835,220
16교차로,서동,13,1932,2055,220
16교차로,서동,13,2152,2275,220
16교차로,서동,13,2372,2495,220
16교차로,서동,13,2592,2715,220
16교차로,서동,13,2812,2935,220
16교차로,서동,13,3032,3155,220
16교차로,서동,13,3252,3375,220
16교차로,서동,13,3472,3595,220
17교차로,서동,13,36,157,220
17교차로,서동,13,256,377,220
17교차로,서동,13,476,597,220
17교차로,서동,13,696,817,220
17교차로,서동,13,916,1037,220
17교차로,서동,13,1136,1257,220
17교차로,서동,13,1356,1477,220
17교차로,서동,13,1576,1697,220
17교차로,서동,13,1796,1917,220
17교차로,서동,13,2016,2137,220
17교차로,서동,13,2236,2357,220
17교차로,서동,13,2456,2577,220
17교차로,서동,13,2676,2797,220
17교차로,서동,13,2896,3017,220
17교차로,서동,13,3116,3237,220
17교차로,서동,13,3336,3457,220
17교차로,서동,13,3556,3677,220
18교차로,서동,9,-112,7,160
18교차로,서동,9,48,167,160
18교차로,서동,9,208,327,160
18교차로,서동,9,368,487,160
18교차로,서동,9,528,647,160
18교차로,서동,9,688,807,160
18교차로,서동,9,848,967,160
18교차로,서동,9,1008,1127,160
18교차로,서동,9,1168,1287,160
18교차로,서동,9,1328,1447,160
18교차로,서동,9,1488,1607,160
18교차로,서동,9,1648,1767,160
18교차로,서동,9,1808,1927,160
18교차로,서동,9,1968,2087,160
18교차로,서동,9,2128,2247,160
18교차로,서동,9,2288,2407,160
18교차로,서동,9,2448,2567,160
18교차로,서동,9,2608,2727,160
18교차로,서동,9,2768,2887,160
18교차로,서동,9,2928,3047,160
18교차로,서동,9,3088,3207,160
18교차로,서동,9,3248,3367,160
18교차로,서동,9,3408,3527,160
18교차로,서동,9,3568,3687,160
19교차로,서동,9,-106,12,160
19교차로,서동,9,54,172,160
19교차로,서동,9,214,332,160
19교차로,서동,9,374,492,160
19교차로,서동,9,534,652,160
19교차로,서동,9,694,812,160
19교차로,서동,9,854,972,160
19교차로,서동,9,1014,1132,160
19교차로,서동,9,1174,1292,160
19교차로,서동,9,1334,1452,160
19교차로,서동,9,1494,1612,160
19교차로,서동,9,1654,1772,160
19교차로,서동,9,1814,1932,160
19교차로,서동,9,1974,2092,160
19교차로,서동,9,2134,2252,160
19교차로,서동,9,2294,2412,160
19교차로,서동,9,2454,2572,160
19교차로,서동,9,2614,2732,160
19교차로,서동,9,2774,2892,160
19교차로,서동,9,2934,3052,160
19교차로,서동,9,3094,3212,160
19교차로,서동,9,3254,3372,160
19교차로,서동,9,3414,3532,160
19교차로,서동,9,3574,3692,160
20교차로,서동,9,-1,70,160
20교차로,서동,9,159,230,160
20교차로,서동,9,319,390,160
20교차로,서동,9,479,550,160
20교차로,서동,9,639,710,160
20교차로,서동,9,799,870,160
20교차로,서동,9,959,1030,160
20교차로,서동,9,1119,1190,160
20교차로,서동,9,1279,1350,160
20교차로,서동,9,1439,1510,160
20교차로,서동,9,1599,1670,160
20교차로,서동,9,1759,1830,160
20교차로,서동,9,1919,1990,160
20교차로,서동,9,2079,2150,160
20교차로,서동,9,2239,2310,160
20교차로,서동,9,2399,2470,160
20교차로,서동,9,2559,2630,160
20교차로,서동,9,2719,2790,160
20교차로,서동,9,2879,2950,160
20교차로,서동,9,3039,3110,160
20교차로,서동,9,3199,3270,160
20교차로,서동,9,3359,3430,160
20교차로,서동,9,3519,3590,160
21교차로,서동,9,-2,93,160
21교차로,서동,9,158,253,160
21교차로,서동,9,318,413,160
21교차로,서동,9,478,573,160
21교차로,서동,9,638,733,160
21교차로,서동,9,798,893,160
21교차로,서동,9,958,1053,160
21교차로,서동,9,1118,1213,160
21교차로,서동,9,1278,1373,160
21교차로,서동,9,1438,1533,160
21교차로,서동,9,1598,1693,160
21교차로,서동,9,1758,1853,160
21교차로,서동,9,1918,2013,160
21교차로,서동,9,2078,2173,160
21교차로,서동,9,2238,2333,160
21교차로,서동,9,2398,2493,160
21교차로,서동,9,2558,2653,160
21교차로,서동,9,2718,2813,160
21교차로,서동,9,2878,2973,160
21교차로,서동,9,3038,3133,160
21교차로,서동,9,3198,3293,160
21교차로,서동,9,3358,3453,160
21교차로,서동,9,3518,3613,160
22교차로,서동,9,5,125,160
22교차로,서동,9,165,285,160
22교차로,서동,9,325,445,160
22교차로,서동,9,485,605,160
22교차로,서동,9,645,765,160
22교차로,서동,9,805,925,160
22교차로,서동,9,965,1085,160
22교차로,서동,9,1125,1245,160
22교차로,서동,9,1285,1405,160
22교차로,서동,9,1445,1565,160
22교차로,서동,9,1605,1725,160
22교차로,서동,9,1765,1885,160
22교차로,서동,9,1925,2045,160
22교차로,서동,9,2085,2205,160
22교차로,서동,9,2245,2365,160
22교차로,서동,9,2405,2525,160
22교차로,서동,9,2565,2685,160
22교차로,서동,9,2725,2845,160
22교차로,서동,9,2885,3005,160
22교차로,서동,9,3045,3165,160
22교차로,서동,9,3205,3325,160
22교차로,서동,9,3365,3485,160
22교차로,서동,9,3525,3645,160
23교차로,서동,9,69,151,160
23교차로,서동,9,229,311,160
23교차로,서동,9,389,471,160
23교차로,서동,9,549,631,160
23교차로,서동,9,709,791,160
23교차로,서동,9,869,951,160
23교차로,서동,9,1029,1111,160
23교차로,서동,9,1189,1271,160
23교차로,서동,9,1349,1431,160
23교차로,서동,9,1509,1591,160
23교차로,서동,9,1669,1751,160
23교차로,서동,9,1829,1911,160
23교차로,서동,9,1989,2071,160
23교차로,서동,9,2149,2231,160
23교차로,서동,9,2309,2391,160
23교차로,서동,9,2469,2551,160
23교차로,서동,9,2629,2711,160
23교차로,서동,9,2789,2871,160
23교차로,서동,9,2949,3031,160
23교차로,서동,9,3109,3191,160
23교차로,서동,9,3269,3351,160
23교차로,서동,9,3429,3511,160
23교차로,서동,9,3589,3671,160
24교차로,서동,9,38,126,160
24교차로,서동,9,198,286,160
24교차로,서동,9,358,446,160
24교차로,서동,9,518,606,160
24교차로,서동,9,678,766,160
24교차로,서동,9,838,926,160
24교차로,서동,9,998,1086,160
24교차로,서동,9,1158,1246,160
24교차로,서동,9,1318,1406,160
24교차로,서동,9,1478,1566,160
24교차로,서동,9,1638,1726,160
24교차로,서동,9,1798,1886,160
24교차로,서동,9,1958,2046,160
24교차로,서동,9,2118,2206,160
24교차로,서동,9,2278,2366,160
24교차로,서동,9,2438,2526,160
24교차로,서동,9,2598,2686,160
24교차로,서동,9,2758,2846,160
24교차로,서동,9,2918,3006,160
24교차로,서동,9,3078,3166,160
24교차로,서동,9,3238,3326,160
24교차로,서동,9,3398,3486,160
24교차로,서동,9,3558,3646,160
25교차로,서동,9,31,93,160
25교차로,서동,9,191,253,160
25교차로,서동,9,351,413,160
25교차로,서동,9,511,573,160
25교차로,서동,9,671,733,160
25교차로,서동,9,831,893,160
25교차로,서동,9,991,1053,160
25교차로,서동,9,1151,1213,160
25교차로,서동,9,1311,1373,160
25교차로,서동,9,1471,1533,160
25교차로,서동,9,1631,1693,160
25교차로,서동,9,1791,1853,160
25교차로,서동,9,1951,2013,160
25교차로,서동,9,2111,2173,160
25교차로,서동,9,2271,2333,160
25교차로,서동,9,2431,2493,160
25교차로,서동,9,2591,2653,160
25교차로,서동,9,2751,2813,160
25교차로,서동,9,2911,2973,160
25교차로,서동,9,3071,3133,160
25교차로,서동,9,3231,3293,160
25교차로,서동,9,3391,3453,160
25교차로,서동,9,3551,3613,160
26교차로,서동,9,35,120,160
26교차로,서동,9,195,280,160
26교차로,서동,9,355,440,160
26교차로,서동,9,515,600,160
26교차로,서동,9,675,760,160
26교차로,서동,9,835,920,160
26교차로,서동,9,995,1080,160
26교차로,서동,9,1155,1240,160
26교차로,서동,9,1315,1400,160
26교차로,서동,9,1475,1560,160
26교차로,서동,9,1635,1720,160
26교차로,서동,9,1795,1880,160
26교차로,서동,9,1955,2040,160
26교차로,서동,9,2115,2200,160
26교차로,서동,9,2275,2360,160
26교차로,서동,9,2435,2520,160
26교차로,서동,9,2595,2680,160
26교차로,서동,9,2755,2840,160
26교차로,서동,9,2915,3000,160
26교차로,서동,9,3075,3160,160
26교차로,서동,9,3235,3320,160
26교차로,서동,9,3395,3480,160
26교차로,서동,9,3555,3640,160
27교차로,서동,9,5,107,160
27교차로,서동,9,165,267,160
27교차로,서동,9,325,427,160
27교차로,서동,9,485,587,160
27교차로,서동,9,645,747,160
27교차로,서동,9,805,907,160
27교차로,서동,9,965,1067,160
27교차로,서동,9,1125,1227,160
27교차로,서동,9,1285,1387,160
27교차로,서동,9,1445,1547,160
27교차로,서동,9,1605,1707,160
27교차로,서동,9,1765,1867,160
27교차로,서동,9,1925,2027,160
27교차로,서동,9,2085,2187,160
27교차로,서동,9,2245,2347,160
27교차로,서동,9,2405,2507,160
27교차로,서동,9,2565,2667,160
27교차로,서동,9,2725,2827,160
27교차로,서동,9,2885,2987,160
27교차로,서동,9,3045,3147,160
27교차로,서동,9,3205,3307,160
27교차로,서동,9,3365,3467,160
27교차로,서동,9,3525,3627,160
28교차로,서동,9,-65,10,160
28교차로,서동,9,95,170,160
28교차로,서동,9,255,330,160
28교차로,서동,9,415,490,160
28교차로,서동,9,575,650,160
28교차로,서동,9,735,810,160
28교차로,서동,9,895,970,160
28교차로,서동,9,1055,1130,160
