intersection_name,direction,SA_num,green_start_time,green_end_time,cycle
8교차로,동서,9,2955,3050,160
8교차로,동서,9,3115,3210,160
8교차로,동서,9,3275,3370,160
8교차로,동서,9,3435,3530,160
8교차로,동서,9,3595,3690,160
9교차로,동서,9,5,107,160
9교차로,동서,9,165,267,160
9교차로,동서,9,325,427,160
9교차로,동서,9,485,587,160
9교차로,동서,9,645,747,160
9교차로,동서,9,805,907,160
9교차로,동서,9,965,1067,160
9교차로,동서,9,1125,1227,160
9교차로,동서,9,1285,1387,160
9교차로,동서,9,1445,1547,160
9교차로,동서,9,1605,1707,160
9교차로,동서,9,1765,1867,160
9교차로,동서,9,1925,2027,160
9교차로,동서,9,2085,2187,160
9교차로,동서,9,2245,2347,160
9교차로,동서,9,2405,2507,160
9교차로,동서,9,2565,2667,160
9교차로,동서,9,2725,2827,160
9교차로,동서,9,2885,2987,160
9교차로,동서,9,3045,3147,160
9교차로,동서,9,3205,3307,160
9교차로,동서,9,3365,3467,160
9교차로,동서,9,3525,3627,160
10교차로,동서,9,35,150,160
10교차로,동서,9,195,310,160
10교차로,동서,9,355,470,160
10교차로,동서,9,515,630,160
10교차로,동서,9,675,790,160
10교차로,동서,9,835,950,160
10교차로,동서,9,995,1110,160
10교차로,동서,9,1155,1270,160
10교차로,동서,9,1315,1430,160
10교차로,동서,9,1475,1590,160
10교차로,동서,9,1635,1750,160
10교차로,동서,9,1795,1910,160
10교차로,동서,9,1955,2070,160
10교차로,동서,9,2115,2230,160
10교차로,동서,9,2275,2390,160
10교차로,동서,9,2435,2550,160
10교차로,동서,9,2595,2710,160
10교차로,동서,9,2755,2870,160
10교차로,동서,9,2915,3030,160
10교차로,동서,9,3075,3190,160
10교차로,동서,9,3235,3350,160
10교차로,동서,9,3395,3510,160
10교차로,동서,9,3555,3670,160
11교차로,동서,9,31,93,160
11교차로,동서,9,191,253,160
11교차로,동서,9,351,413,160
11교차로,동서,9,511,573,160
11교차로,동서,9,671,733,160
11교차로,동서,9,831,893,160
11교차로,동서,9,991,1053,160
11교차로,동서,9,1151,1213,160
11교차로,동서,9,1311,1373,160
11교차로,동서,9,1471,1533,160
11교차로,동서,9,1631,1693,160
11교차로,동서,9,1791,1853,160
11교차로,동서,9,1951,2013,160
11교차로,동서,9,2111,2173,160
11교차로,동서,9,2271,2333,160
11교차로,동서,9,2431,2493,160
11교차로,동서,9,2591,2653,160
11교차로,동서,9,2751,2813,160
11교차로,동서,9,2911,2973,160
11교차로,동서,9,3071,3133,160
11교차로,동서,9,3231,3293,160
11교차로,동서,9,3391,3453,160
11교차로,동서,9,3551,3613,160
12교차로,동서,9,38,126,160
12교차로,동서,9,198,286,160
12교차로,동서,9,358,446,160
12교차로,동서,9,518,606,160
12교차로,동서,9,678,766,160
12교차로,동서,9,838,926,160
12교차로,동서,9,998,1086,160
12교차로,동서,9,1158,1246,160
12교차로,동서,9,1318,1406,160
12교차로,동서,9,1478,1566,160
12교차로,동서,9,1638,1726,160
12교차로,동서,9,1798,1886,160
12교차로,동서,9,1958,2046,160
12교차로,동서,9,2118,2206,160
12교차로,동서,9,2278,2366,160
12교차로,동서,9,2438,2526,160
12교차로,동서,9,2598,2686,160
12교차로,동서,9,2758,2846,160
12교차로,동서,9,2918,3006,160
12교차로,동서,9,3078,3166,160
12교차로,동서,9,3238,3326,160
12교차로,동서,9,3398,3486,160
12교차로,동서,9,3558,3646,160
13교차로,동서,9,69,151,160
13교차로,동서,9,229,311,160
13교차로,동서,9,389,471,160
13교차로,동서,9,549,631,160
13교차로,동서,9,709,791,160
13교차로,동서,9,869,951,160
13교차로,동서,9,1029,1111,160
13교차로,동서,9,1189,1271,160
13교차로,동서,9,1349,1431,160
13교차로,동서,9,1509,1591,160
13교차로,동서,9,1669,1751,160
13교차로,동서,9,1829,1911,160
13교차로,동서,9,1989,2071,160
13교차로,동서,9,2149,2231,160
13교차로,동서,9,2309,2391,160
13교차로,동서,9,2469,2551,160
13교차로,동서,9,2629,2711,160
13교차로,동서,9,2789,2871,160
13교차로,동서,9,2949,3031,160
13교차로,동서,9,3109,3191,160
13교차로,동서,9,3269,3351,160
13교차로,동서,9,3429,3511,160
13교차로,동서,9,3589,3671,160
14교차로,동서,9,5,125,160
14교차로,동서,9,165,285,160
14교차로,동서,9,325,445,160
14교차로,동서,9,485,605,160
14교차로,동서,9,645,765,160
14교차로,동서,9,805,925,160
14교차로,동서,9,965,1085,160
14교차로,동서,9,1125,1245,160
14교차로,동서,9,1285,1405,160
14교차로,동서,9,1445,1565,160
14교차로,동서,9,1605,1725,160
14교차로,동서,9,1765,1885,160
14교차로,동서,9,1925,2045,160
14교차로,동서,9,2085,2205,160
14교차로,동서,9,2245,2365,160
14교차로,동서,9,2405,2525,160
14교차로,동서,9,2565,2685,160
14교차로,동서,9,2725,2845,160
14교차로,동서,9,2885,3005,160
14교차로,동서,9,3045,3165,160
14교차로,동서,9,3205,3325,160
14교차로,동서,9,3365,3485,160
14교차로,동서,9,3525,3645,160
15교차로,동서,9,-2,113,160
15교차로,동서,9,158,273,160
15교차로,동서,9,318,433,160
15교차로,동서,9,478,593,160
15교차로,동서,9,638,753,160
15교차로,동서,9,798,913,160
15교차로,동서,9,958,1073,160
15교차로,동서,9,1118,1233,160
15교차로,동서,9,1278,1393,160
15교차로,동서,9,1438,1553,160
15교차로,동서,9,1598,1713,160
15교차로,동서,9,1758,1873,160
15교차로,동서,9,1918,2033,160
15교차로,동서,9,2078,2193,160
15교차로,동서,9,2238,2353,160
15교차로,동서,9,2398,2513,160
15교차로,동서,9,2558,2673,160
15교차로,동서,9,2718,2833,160
15교차로,동서,9,2878,2993,160
15교차로,동서,9,3038,3153,160
15교차로,동서,9,3198,3313,160
15교차로,동서,9,3358,3473,160
15교차로,동서,9,3518,3633,160
16교차로,동서,9,-1,109,160
16교차로,동서,9,159,269,160
16교차로,동서,9,319,429,160
16교차로,동서,9,479,589,160
16교차로,동서,9,639,749,160
16교차로,동서,9,799,909,160
16교차로,동서,9,959,1069,160
16교차로,동서,9,1119,1229,160
16교차로,동서,9,1279,1389,160
16교차로,동서,9,1439,1549,160
16교차로,동서,9,1599,1709,160
16교차로,동서,9,1759,1869,160
16교차로,동서,9,1919,2029,160
16교차로,동서,9,2079,2189,160
16교차로,동서,9,2239,2349,160
16교차로,동서,9,2399,2509,160
16교차로,동서,9,2559,2669,160
16교차로,동서,9,2719,2829,160
16교차로,동서,9,2879,2989,160
16교차로,동서,9,3039,3149,160
16교차로,동서,9,3199,3309,160
16교차로,동서,9,3359,3469,160
16교차로,동서,9,3519,3629,160
17교차로,동서,9,54,152,160
17교차로,동서,9,214,312,160
17교차로,동서,9,374,472,160
17교차로,동서,9,534,632,160
17교차로,동서,9,694,792,160
17교차로,동서,9,854,952,160
17교차로,동서,9,1014,1112,160
17교차로,동서,9,1174,1272,160
17교차로,동서,9,1334,1432,160
17교차로,동서,9,1494,1592,160
17교차로,동서,9,1654,1752,160
17교차로,동서,9,1814,1912,160
17교차로,동서,9,1974,2072,160
17교차로,동서,9,2134,2232,160
17교차로,동서,9,2294,2392,160
17교차로,동서,9,2454,2552,160
17교차로,동서,9,2614,2712,160
17교차로,동서,9,2774,2872,160
17교차로,동서,9,2934,3032,160
17교차로,동서,9,3094,3192,160
17교차로,동서,9,3254,3352,160
17교차로,동서,9,3414,3512,160
17교차로,동서,9,3574,3672,160
18교차로,동서,9,48,143,160
18교차로,동서,9,208,303,160
18교차로,동서,9,368,463,160
18교차로,동서,9,528,623,160
18교차로,동서,9,688,783,160
18교차로,동서,9,848,943,160
18교차로,동서,9,1008,1103,160
18교차로,동서,9,1168,1263,160
18교차로,동서,9,1328,1423,160
18교차로,동서,9,1488,1583,160
18교차로,동서,9,1648,1743,160
18교차로,동서,9,1808,1903,160
18교차로,동서,9,1968,2063,160
18교차로,동서,9,2128,2223,160
18교차로,동서,9,2288,2383,160
18교차로,동서,9,2448,2543,160
18교차로,동서,9,2608,2703,160
18교차로,동서,9,2768,2863,160
18교차로,동서,9,2928,3023,160
18교차로,동서,9,3088,3183,160
18교차로,동서,9,3248,3343,160
18교차로,동서,9,3408,3503,160
18교차로,동서,9,3568,3663,160
19교차로,동서,13,77,157,220
19교차로,동서,13,297,377,220
19교차로,동서,13,517,597,220
19교차로,동서,13,737,817,220
19교차로,동서,13,957,1037,220
19교차로,동서,13,1177,1257,220
19교차로,동서,13,1397,1477,220
19교차로,동서,13,1617,1697,220
19교차로,동서,13,1837,1917,220
19교차로,동서,13,2057,2137,220
19교차로,동서,13,2277,2357,220
19교차로,동서,13,2497,2577,220
19교차로,동서,13,2717,2797,220
19교차로,동서,13,2937,3017,220
19교차로,동서,13,3157,3237,220
19교차로,동서,13,3377,3457,220
19교차로,동서,13,3597,3677,220
20교차로,동서,13,-48,75,220
20교차로,동서,13,172,295,220
20교차로,동서,13,392,515,220
20교차로,동서,13,612,735,220
20교차로,동서,13,832,955,220
20교차로,동서,13,1052,1175,220
20교차로,동서,13,1272,1395,220
20교차로,동서,13,1492,1615,220
20교차로,동서,13,1712,1835,220
20교차로,동서,13,1932,2055,220
20교차로,동서,13,2152,2275,220
20교차로,동서,13,2372,2495,220
20교차로,동서,13,2592,2715,220
20교차로,동서,13,2812,2935,220
20교차로,동서,13,3032,3155,220
20교차로,동서,13,3252,3375,220
20교차로,동서,13,3472,3595,220
21교차로,동서,13,79,191,220
21교차로,동서,13,299,411,220
21교차로,동서,13,519,631,220
21교차로,동서,13,739,851,220
21교차로,동서,13,959,1071,220
21교차로,동서,13,1179,1291,220
21교차로,동서,13,1399,1511,220
21교차로,동서,13,1619,1731,220
21교차로,동서,13,1839,1951,220
21교차로,동서,13,2059,2171,220
21교차로,동서,13,2279,2391,220
21교차로,동서,13,2499,2611,220
21교차로,동서,13,2719,2831,220
21교차로,동서,13,2939,3051,220
21교차로,동서,13,3159,3271,220
21교차로,동서,13,3379,3491,220
21교차로,동서,13,3599,3711,220
22교차로,동서,88,-23,187,210
22교차로,동서,88,187,397,210
22교차로,동서,88,397,607,210
22교차로,동서,88,607,817,210
22교차로,동서,88,817,1027,210
22교차로,동서,88,1027,1237,210
22교차로,동서,88,1237,1447,210
22교차로,동서,88,1447,1657,210
22교차로,동서,88,1657,1867,210
22교차로,동서,88,1867,2077,210
22교차로,동서,88,2077,2287,210
22교차로,동서,88,2287,2497,210
22교차로,동서,88,2497,2707,210
22교차로,동서,88,2707,2917,210
22교차로,동서,88,2917,3127,210
22교차로,동서,88,3127,3337,210
22교차로,동서,88,3337,3547,210
22교차로,동서,88,3547,3757,210
23교차로,동서,10,-77,28,180
23교차로,동서,10,103,208,180
23교차로,동서,10,283,388,180
23교차로,동서,10,463,568,180
23교차로,동서,10,643,748,180
23교차로,동서,10,823,928,180
23교차로,동서,10,1003,1108,180
23교차로,동서,10,1183,1288,180
23교차로,동서,10,1363,1468,180
23교차로,동서,10,1543,1648,180
23교차로,동서,10,1723,1828,180
23교차로,동서,10,1903,2008,180
23교차로,동서,10,2083,2188,180
23교차로,동서,10,2263,2368,180
23교차로,동서,10,2443,2548,180
23교차로,동서,10,2623,2728,180
23교차로,동서,10,2803,2908,180
23교차로,동서,10,2983,3088,180
23교차로,동서,10,3163,3268,180
23교차로,동서,10,3343,3448,180
23교차로,동서,10,3523,3628,180
24교차로,동서,10,-42,57,180
24교차로,동서,10,138,237,180
24교차로,동서,10,318,417,180
24교차로,동서,10,498,597,180
24교차로,동서,10,678,777,180
24교차로,동서,10,858,957,180
24교차로,동서,10,1038,1137,180
24교차로,동서,10,1218,1317,180
24교차로,동서,10,1398,1497,180
24교차로,동서,10,1578,1677,180
24교차로,동서,10,1758,1857,180
24교차로,동서,10,1938,2037,180
24교차로,동서,10,2118,2217,180
24교차로,동서,10,2298,2397,180
24교차로,동서,10,2478,2577,180
24교차로,동서,10,2658,2757,180
24교차로,동서,10,2838,2937,180
24교차로,동서,10,3018,3117,180
24교차로,동서,10,3198,3297,180
24교차로,동서,10,3378,3477,180
24교차로,동서,10,3558,3657,180
25교차로,동서,10,-54,93,180
25교차로,동서,10,126,273,180
25교차로,동서,10,306,453,180
25교차로,동서,10,486,633,180
25교차로,동서,10,666,813,180
25교차로,동서,10,846,993,180
25교차로,동서,10,1026,1173,180
25교차로,동서,10,1206,1353,180
25교차로,동서,10,1386,1533,180
25교차로,동서,10,1566,1713,180
25교차로,동서,10,1746,1893,180
25교차로,동서,10,1926,2073,180
25교차로,동서,10,2106,2253,180
25교차로,동서,10,2286,2433,180
25교차로,동서,10,2466,2613,180
25교차로,동서,10,2646,2793,180
25교차로,동서,10,2826,2973,180
25교차로,동서,10,3006,3153,180
25교차로,동서,10,3186,3333,180
25교차로,동서,10,3366,3513,180
25교차로,동서,10,3546,3693,180
26교차로,동서,10,-31,40,180
26교차로,동서,10,149,220,180
26교차로,동서,10,329,400,180
26교차로,동서,10,509,580,180
26교차로,동서,10,689,760,180
26교차로,동서,10,869,940,180
26교차로,동서,10,1049,1120,180
26교차로,동서,10,1229,1300,180
26교차로,동서,10,1409,1480,180
26교차로,동서,10,1589,1660,180
26교차로,동서,10,1769,1840,180
26교차로,동서,10,1949,2020,180
26교차로,동서,10,2129,2200,180
26교차로,동서,10,2309,2380,180
26교차로,동서,10,2489,2560,180
26교차로,동서,10,2669,2740,180
26교차로,동서,10,2849,2920,180
26교차로,동서,10,3029,3100,180
26교차로,동서,10,3209,3280,180
26교차로,동서,10,3389,3460,180
26교차로,동서,10,3569,3640,180
27교차로,동서,26,30,157,160
27교차로,동서,26,190,317,160
27교차로,동서,26,350,477,160
27교차로,동서,26,510,637,160
27교차로,동서,26,670,797,160
27교차로,동서,26,830,957,160
27교차로,동서,26,990,1117,160
27교차로,동서,26,1150,1277,160
27교차로,동서,26,1310,1437,160
27교차로,동서,26,1470,1597,160
27교차로,동서,26,1630,1757,160
27교차로,동서,26,1790,1917,160
27교차로,동서,26,1950,2077,160
27교차로,동서,26,2110,2237,160
27교차로,동서,26,2270,2397,160
